@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
414,'2016/04/28 17:47:19:016',1,0,1
415,'2016/04/28 17:47:19:033',1,7.201895,1
416,'2016/04/28 17:47:19:051',1,0,1
417,'2016/04/28 17:47:19:069',1,6.440286,1
418,'2016/04/28 17:47:19:087',1,0,1
419,'2016/04/28 17:47:19:113',1,6.484646,1
420,'2016/04/28 17:47:19:130',1,6.591643,1
421,'2016/04/28 17:47:19:150',1,0,1
422,'2016/04/28 17:47:19:167',1,0,1
423,'2016/04/28 17:47:19:183',1,5.557354,1
424,'2016/04/28 17:47:19:200',1,5.368996,1
425,'2016/04/28 17:47:19:216',1,0,1
426,'2016/04/28 17:47:19:233',1,12.332067,1
427,'2016/04/28 17:47:19:250',1,0,1
428,'2016/04/28 17:47:19:266',1,6.874887,1
429,'2016/04/28 17:47:19:284',1,0,1
430,'2016/04/28 17:47:19:300',1,3.88449,1
431,'2016/04/28 17:47:19:317',1,0,1
432,'2016/04/28 17:47:19:332',1,2.056437,1
433,'2016/04/28 17:47:19:350',1,0,1
434,'2016/04/28 17:47:19:366',1,0,1
435,'2016/04/28 17:47:19:383',1,2.809758,1
436,'2016/04/28 17:47:19:400',1,3.819993,1
437,'2016/04/28 17:47:19:416',1,0,1
438,'2016/04/28 17:47:19:433',1,6.566742,1
439,'2016/04/28 17:47:19:450',1,4.917666,1
440,'2016/04/28 17:47:19:466',1,7.738727,1
441,'2016/04/28 17:47:19:483',1,7.583889,1
442,'2016/04/28 17:47:19:500',1,0,1
443,'2016/04/28 17:47:19:516',1,0,1
444,'2016/04/28 17:47:19:533',1,8.135568,1
445,'2016/04/28 17:47:19:550',1,0,1
446,'2016/04/28 17:47:19:566',1,6.772332,1
447,'2016/04/28 17:47:19:584',1,0,1
448,'2016/04/28 17:47:19:600',1,10.408064,1
449,'2016/04/28 17:47:19:616',1,0,1
450,'2016/04/28 17:47:19:633',1,13.839098,1
451,'2016/04/28 17:47:19:649',1,0,1
452,'2016/04/28 17:47:19:666',1,10.450488,1
453,'2016/04/28 17:47:19:684',1,0,1
454,'2016/04/28 17:47:19:702',1,12.962047,1
455,'2016/04/28 17:47:19:721',1,10.244905,1
456,'2016/04/28 17:47:19:738',1,0,1
457,'2016/04/28 17:47:19:754',1,9.643826,1
458,'2016/04/28 17:47:19:771',1,0,1
459,'2016/04/28 17:47:19:786',1,11.665531,1
460,'2016/04/28 17:47:19:803',1,0,1
461,'2016/04/28 17:47:19:820',1,0,1
462,'2016/04/28 17:47:19:836',1,9.434443,1
463,'2016/04/28 17:47:19:854',1,7.284875,1
